title,address,description,price,date,seller,image 
6 bedroom house for sale,"Chester Street, Belgravia, London","This freehold period house seamlessly combines original Georgian elements with contemporary features perfectly suited for both entertaining and modern family living, with a passenger lift and air conditioning.","£13,750,000",31/01/2020,"Strutt & Parker, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44264/88973909/44264_SLN190062_IMG_01_0000_max_476x317.jpg
2 bedroom flat for sale,"Bishop's Park, Bishop's Park, London, SW6","Enviably located opposite the pretty Bishops Park, this well proportioned 2 bedroom 1st floor flat has recently been refurbished and is moments from Fulham Road.","£600,000",07/08/2020,"Foxtons, Fulham Bishops Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/152k/151655/95815391/151655_1141705_IMG_02_0000_max_476x317.jpg
3 bedroom flat for sale,"Lowndes Square, Knightsbridge, London, SW1X","An immaculate turnkey 3 bedroom new build penthouse for sale in SW1X An exquisite, penthouse apartment spread over 2 floors benefiting from a day porter and a share of the freehold. Approximately 316.05 sq m (3,402 sq ft). EPC: C This rare interior designed 3 bedroom lateral apartment, with ...","£13,500,000",15/03/2019,"Knight Frank, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65827/75725771/65827_KRD180670_IMG_01_0006_max_476x317.jpg
6 bedroom detached house for sale,"Belgravia, London, SW1","Please register for full details. This house offers an opportunity to create a superb family home. This elegant property has exceptional views directly over the garden square, good volume and natural light throughout. The property is currently laid out as a house with a mews to the rear. The prop...","£13,500,000",12/03/2019,"Smart Move Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78068/80049419/78068_3676_IMG_01_0000_max_476x317.jpg
3 bedroom penthouse for sale,"Lowndes Square, London, SW1X",A beautifully designed penthouse apartment overlooking the gardens of Lowndes Square and benefitting from a porter and a share of the freehold. Code for lift is 2012 E,"£13,500,000",19/07/2019,"Savills, Sloane Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48943/73028929/48943_SLH180132_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"77 Mayfair, South Audley Street, London, W1K","A beautifully finished 3 bedroom apartment overlooking South Audley Street Located in the heart of Mayfair, this exceptional three bedroom apartment on South Audley Street offers stylish and contemporary living, which benefits from a porter, spa and gym facilities, as well as an underground park...","£13,500,000",24/07/2019,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/81620450/65815_WER190007_IMG_01_0003_max_476x317.jpg
3 bedroom flat for sale,"Pont Street, Knightsbridge,, London, SW1X","An immaculate, beautifully finished apartment spread laterally across the second floor of a period conversion by Candy & Candy. It has a GARAGE space and is available as a turnkey home complete with furniture. Facilities include a designated underground parking space, air conditio...","£13,000,000",18/05/2018,"Kaye & Carey, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49953/65400619/49953_KCA180006_IMG_01_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Thurloe Square, South Kensington, London, SW7","A 7 bedroom house for sale in South Kensington SW7 A magnificent and elegant, Grade II Listed stucco-fronted house situated on the favoured east side of London's most highly-regarded Garden Squares. This substantial and exquisitely presented house benefits from a grand and well-proportioned fi...","£12,995,000",07/03/2020,"Knight Frank, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65827/90206141/65827_SLA100028_IMG_01_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Thurloe Square, South Kensington, SW7","A magnificent and elegant Grade II listed stucco fronted seven bedroom house, situated on the favoured east side of one of London's most highly- regarded garden squares. This substantial and exquisitely presented house benefits from a grand and well proportioned first floor drawing and...","£12,995,000",04/03/2020,"Russell Simpson, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46451/68834970/46451_RUS190402_IMG_01_0000_max_476x317.jpg
4 bedroom flat for sale,"Buckingham Gate, London, SW1E","A 3 bedroom apartment with superb proportions available for sale in The Buckingham, SW1, benefiting from direct views over Buckingham Palace. The Buckingham is a collection of 6 impressive apartments which have been meticulously refurbished to an exceptional standard, with 24-hour concierge and ...","£12,975,000",yesterday,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/95977361/94745_BGV012090084_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Wimpole Street, Marylebone, London, W1G",A Grade II listed freehold building for sale in Marylebone W1 A Grade II listed freehold building in the heart of Marylebone village. Currently arranged as a mixed use medical/residential building the property is in need of full modernisation - however Westminster have recently granted planning...,"£12,950,000",08/09/2019,"Knight Frank, Marylebone",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63077/64931103/63077_MRY160160_IMG_01_0005_max_476x317.jpg
5 bedroom terraced house for sale,"Cumberland Terrace, London","A rare opportunity to buy a substantial and impressive, neoclassical, Grade I listed, terrace house with parking and a patio garden. The terrace was designed by the famous royal architect, John Nash, built in 1826 and comprises three main blocks which are joined by impressive Ionic triumphal lin...","£12,950,000",20/11/2019,"Sandfords, Regents Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45144/66534162/45144_RGP170032_IMG_01_0000_max_476x317.jpg
5 bedroom town house for sale,"Old Queen Street, London, SW1H","An exclusive Grade II listed Georgian townhouse c. 1775, nestled on Old Queen Street, running parallel to Birdcage Walk and St James’s Park. This spectacular property incorporates many modern amenities amongst its original period details and character. The house is arranged over seven spaciou...","£12,950,000",31/07/2020,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/82932997/79099_1023234247_IMG_01_0000_max_476x317.jpg
2 bedroom apartment for sale,"Chiltern Place, 66 Chiltern Street, Marylebone, London, W1U","A beautifully designed lateral apartment, offering superb outside space and far reaching views, within a landmark development in the heart of Marylebone Village.","£12,950,000",09/07/2020,"Savills, Marylebone",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104930/71748957/104930_MBS200036_IMG_03_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Cumberland Terrace, Regent's Park, London, NW1","A neoclassical, Grade I listed terrace house with panoramic views over Regent's Park, designed by Royal British architect John Nash.","£12,950,000",04/05/2018,"Savills, St John's Wood & Regent's Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78202/66534009/78202_MVS170048_IMG_01_0000_max_476x317.jpg
4 bedroom penthouse for sale,"Lancer Square, Kensington Church Street, London, W8",This triple aspect 4 bed apartment features a wraparound terrace and a living room overlooking the newly created garden square.,"£12,850,000",29/07/2020,"Savills New Homes, Margaret Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48985/82821535/48985_LAD160826_IMG_01_0000_max_476x317.jpg
6 bedroom penthouse for sale,Trinity House 377 Kensington High Street W14,"A unique Penthouse in one of Kensingtons most exclusive new residential developments, 375 Kensington High Street. This immaculate six bedroom Penthouse reaches across 4,108 sq ft taking in breath taking views of London.
This new development by St Edward Homes offers a very high standard of living...","£12,800,000",11/07/2019,"JLL, Kensington High Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212372/74922622/212372_P23965_IMG_01_0000_max_476x317.jpg
6 bedroom house for sale,"Chester Street, Belgravia","An exceptional six bedroom, Georgian townhouse which has recently been beautifully refurbished to exacting standards. Features include a lift, stunning glass integral garage and breathtaking entertainment spaces.","£12,750,000",08/07/2020,"Dexters, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94643/81864934/94643_29762083_IMG_01_0000_max_476x317.jpg
6 bedroom end of terrace house for sale,"Chester Street, London","This impressive town house has recently undergone a complete redevelopment and refurbishment to provide accommodation comprising 492.30 sq m (5,299 sq ft).","£12,750,000",09/07/2020,"Strutt & Parker, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44264/94635278/44264_SLN200034_IMG_01_0000_max_476x317.jpg
6 bedroom end of terrace house for sale,"Egerton Crescent, Chelsea, London, SW3","A magnificent and rare Grade II listed six-bedroom end of terrace house on this prestigious and highly sought-after address. Built of traditional brick construction behind a painted stucco fronted elevation, the house is arranged over lower ground, ground and 3 upper storeys. ","£12,750,000",02/07/2020,"Russell Simpson, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46451/71598915/46451_RUS200333_IMG_01_0000_max_476x317.jpg
10 bedroom apartment for sale,"Bolton Studios, 17b Gilston Road, SW10","A sensational collection of 11 apartments in a prestigious development, Bolton studios, in Gilston Road, Chelsea. Offering a selection of ten 1 bed and one 2 bed apartments, flawlessly arranged, with the one beds placed over the ground and first floors and the two bedroom ap...","£12,750,000",13/06/2019,"CBRE Residential, West End",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80905/82560797/80905_HOL180391_IMG_01_0000_max_476x317.jpg
Property for sale,"Gilston Road, London, SW10","A superb opportunity to acquire 11 units within this exceptionally well located portered development. Totalling 8,658 square feet the portfolio is made up of one 2 Bedroom studio house and ten 1 Bedroom studio houses. All of these are presented in immaculate condition and are fully furnished. Our...","£12,750,000",04/04/2019,"Farrar & Co, Chelsea - Sales",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80984/61413906/80984_FAS180235_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Upper Wimpole Street, Marylebone, London, W1G","6 Bedroom Terraced House For Sale in Marylebone A rare and exceptional Georgian townhouse in the heart of Marylebone Village. This beautiful home is set across five floors with approximately 7,526 sq ft of superb accommodation. The connected reception rooms on the first floor feature charming ...","£12,750,000",26/02/2020,"Knight Frank, Marylebone",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63077/68657184/63077_MRY012042979_IMG_24_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Upper Wimpole Street, Marylebone, London, W1G","A rare and exceptional 6 bedroom, Grade II listed Georgian townhouse in the heart of Marylebone Village","£12,750,000",26/02/2020,"Savills, Marylebone",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104930/68656986/104930_MBS200031_IMG_04_0000_max_476x317.jpg
5 bedroom apartment for sale,"The Tower, Nine Elms, London, SW8","A new level of luxury living has arrived in the heart of London. In an exclusive partnership with Versace Home, the global symbol of opulence, DAMAC Tower Nine Elms brings you the ultimate in branded living experiences. Rising 50 storeys, the ultra-modern DAMAC Tower will stand out as ...","£12,653,990",05/02/2020,"'s International Realty, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62080/77316853/62080_LON200079_IMG_01_0000_max_476x317.jpg
5 bedroom house for sale,"Elgin Crescent, Notting Hill W11",This beautiful end of terrace house is one of only eight corner properties on Elgin Crescent and is the latest project from renowned developer Thornsett.,"£12,527,000",01/07/2020,"Rokstone, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176396/94269290/176396_1984_ROKS_IMG_01_0000_max_476x317.jpg
2 bedroom apartment for sale,"Plot 5, Errigal House, 266 Chase Side, Southgate, London","Plot 5 is a 1271 sqft 2 bedroom top floor apartment with an ultra-modern design, many features to include an impressive fitted kitchen with integrated appliances, master bedroom with en-suite and access to a private balcony. Welcome to Errigal House. Set behind its gated entr...","£754,950",03/08/2020,"Lanes New Homes, New Homes",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42036/95613833/42036_4861390_IMG_11_0000_max_476x317.jpg
5 bedroom semi-detached house for sale,"Elgin Crescent, Notting Hill, London, W11","This house has been meticulously renovated and offers the perfect balance of reception/living space and bedroom accommodation. Arranged over six floors, this is an outstanding turn-key family home in a wonderfully idyllic location - a true gem. There is an abundance of natural light throughout, ...","£12,527,000",02/07/2020,"Knight Frank, Notting Hill",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65821/94314662/65821_NGH012069182_IMG_01_0001_max_476x317.jpg
5 bedroom house for sale,"Hamilton Drive, St John's Wood, London, NW8","PROPERTY VIDEO AVAILABLE Hamilton Drive is a stunning collection of newly constructed Georgian townhouses, designed and executed to an exceptional standard. Utilising a world class team of design professionals, including Robert Adam of ADAM Architects, Natalia Miyar interior design and...","£12,500,000",06/04/2018,"Aston Chase, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84235/64803724/84235_RGS170181_IMG_01_0000_max_476x317.jpg
3 bedroom apartment for sale,"Chelsea Barracks, Residence 3, 1 Mulberry Square, London, SW1W","Situated on the first floor, this elegant three-bedroom residence offers generously proportioned living spaces, with stunning views out to two of the seven garden squares at Chelsea Barracks","£12,500,000",31/01/2020,"Savills New Homes, Margaret Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48985/77143504/48985_SLH180403_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Chester Terrace, Regents Park, London, NW1",An elegant home in stunning condition that has exceptional uninterrupted views over Regent’s Park.,"£12,500,000",20/05/2019,"Savills, St John's Wood & Regent's Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78202/63852708/78202_STS120043_IMG_01_0000_max_476x317.jpg
7 bedroom house for sale,"Queensberry Place, Kensington","Arranged over six floors and offering approximately 5950 square feet of flexible living space, this superb family residence affords accommodation of discerning standard.","£12,500,000",15/07/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/94222976/51305_4466_IMG_01_0000_max_476x317.jpg
6 bedroom house for sale,"Chester Terrace, London, NW1 ",This classical residence has been re designed and refurbished in recent years and has exceptional uninterrupted views over Regent's Park. Arlington Residential is proud to bring to the market this beautiful residence in Regent's Park. The house offers family accommodation within a classical town...,"£12,500,000",20/05/2019,"Arlington Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195398/59514057/195398_28467420_IMG_11_0000_max_476x317.jpg
Terraced house for sale,"Hamilton Drive Development, St. John's Wood, London, NW8","Hamilton Drive is a stunning collection of ten newly constructed Georgian townhouses, designed and executed to an exceptional standard.","£12,500,000",28/09/2017,"Savills, St John's Wood & Regent's Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78202/63852669/78202_STS170146_IMG_11_0000_max_476x317.jpg
6 bedroom detached house for sale,"Parkside, Wimbledon Village, London, SW19","A very special house with great volume on Parkside. A fabulous six bedroom detached house that has been re-built and extended behind the original period facade. Measuring just under 12,000 ft2, this magnificent house is finished to high standards with very high ceilings throughout, an exception...","£12,500,000",19/11/2019,"Knight Frank, Wimbledon",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65833/86772497/65833_WMB170022_IMG_01_0004_max_476x317.jpg
3 bedroom apartment for sale,"Pearson Square, Fitzroy Place, W1T","Outstanding tenth floor 3580 sq ft penthouse apartment for sale in Pearson Square, at the heart of Fitzrovia Outstanding tenth floor 3580 sq ft penthouse apartment for sale in Pearson Square, at the heart of Fitzrovia The apartment benefits from the uncompromising...","£12,500,000",13/07/2017,"CBRE Residential, West End",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80905/67711787/80905_BSL170580_IMG_01_0000_max_476x317.jpg
6 bedroom end of terrace house for sale,"Ovington Square, London, SW3","An important Grade II listed corner house of imposing proportions. Situated in the heart of Knightsbridge, moments from Harrods. Planning consent to extend. Garage.","£12,500,000",02/03/2020,"John D Wood & Co. Sales, Chelsea Green",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/669/77859571/669_CST160069_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Parkside, Wimbledon, SW19","A beautifully appointed family residence, recently completed to the highest 21st century specifications whilst retaining the original period character, located opposite Wimbledon Common a few minutes walk to the Village","£12,500,000",19/11/2019,"Robert Holmes & Co, Wimbledon - Sales",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/73k/72698/75645247/72698_WIM180029_IMG_22_0000_max_476x317.jpg
5 bedroom house for sale,"Melbury Road, Holland Park, London, W14","A fully detached house measuring 4,927 square feet, with a large west-facing garden and off-street parking for 2 – 3 cars. This five bedroom family home is laid out over three floors only with no lower ground floor or basement. There is fantastic living space focused around a la...","£12,000,000",22/06/2020,"Russell Simpson, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204992/93867653/204992_RUS180209_IMG_01_0000_max_476x317.jpg
5 bedroom semi-detached house for sale,"Warwick Avenue, London, W9","An exceptional period, semi-detached house for sale in W9. An exceptional period, semi-detached house refurbished and restored to the highest possible standards whilst retaining the home's great charm and character.
This beautiful, stucco-fronted detached, freehold house has undergone an extensi...","£12,000,000",07/08/2020,"Knight Frank, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65830/79679119/65830_SJW190161_IMG_01_0001_max_476x317.jpg
5 bedroom terraced house for sale,"Chesterfield Street, London, W1J","A Grande 5 bedroom Mayfair townhouse with private terrace Chesterfield Street is a prime Mayfair location situated between Charles Street and Curzon Street with close proximity to Hyde Park, Green Park and Berkeley Square. Arranged over 5 floors, this stunning period townhouse incorporates a rar...","£11,950,000",03/02/2018,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/71254709/65815_WER170091_IMG_08_0001_max_476x317.jpg
5 bedroom detached house for sale,"Holland Park, Holland Park, London, W11","A wonderful maisonette set over two floors of this imposing Grade II listed villa boasting a wonderful, south facing garden and excellent entertaining space with a 48ft drawing room on the raised ground floor.","£11,950,000",21/02/2017,"Carter Jonas, Holland Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48570/78965408/48570_HOL140018_IMG_01_0000_max_476x317.jpg
5 bedroom semi-detached house for sale,"Chelsea Square, London, SW3","Beautiful family house located in renowned Chelsea Square. Chelsea Square, one of the largest and most beautifully maintained private garden squares in central London, was originally laid out by Cadogan Estate in 1812 as Trafalgar Square, but never completed. The south and east sides were enti...","£11,950,000",16/06/2020,"Knight Frank, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65803/71204532/65803_RVC170416_IMG_01_0000_max_476x317.jpg
5 bedroom house for sale,"Fairholt Street, Knightsbridge, London","Having been through a comprehensive refurbishment program, creating approximately 4,600 sq ft of internal accommodation, this unusually wide house has a frontage of over 28ft.","£11,950,000",22/11/2018,"Strutt & Parker, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44264/77332370/44264_SLN170097_IMG_02_0000_max_476x317.jpg
4 bedroom terraced house for sale,"Montrose Place, Belgravia, London, SW1X","A truly exceptional low built house, newly developed and architect designed to provide flexible, spacious and well balanced accommodation over four floors only, located in this quiet residential street in the heart of Belgravia. The attention to detail and bespoke features maximise light and volu...","£11,950,000",13/04/2018,"Best Gapp, Belgravia - Sales",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44442/66480033/44442_BGP180027_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Chester Terrace, Regents Park, London, NW1","A classical Nash residence that has been re-designed and refurbished in recent years and has exceptional views across Regent's Park. The house offers 4494 Sq.ft of family accommodation, with the added benefit of a passenger lift which accesses all floors. From the grand entrance hall on the grou...","£11,950,000",26/09/2019,"Ian Green Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73947/74383795/73947_29131013_IMG_01_0000_max_476x317.jpg
6 bedroom semi-detached house for sale,"Queens Grove, St Johns Wood, London, NW8","VIRTUAL TOUR AVAILABLE An exceptional opportunity to acquire a beautiful Grade II Listed semi-detached period residence and adjoining Studio House (471.3 sq m/5,073 sq ft) enviably located on one of the most sought after roads on the east side of St John's Wood just off Avenue Road. Th...","£11,950,000",22/06/2020,"Aston Chase, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84235/81234904/84235_RGS200073_IMG_12_0000_max_476x317.jpg
2 bedroom apartment for sale,"Clarges Mayfair, Mayfair, London, W1J",An impressive second floor lateral apartment overlooking Green Park in this landmark new development in Mayfair.,"£11,950,000",29/08/2018,"Savills, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49602/83478002/49602_MAS180072_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Chelsea Square, London, SW3",A MAGNIFICENT FAMILY HOUSE LOCATED IN THIS PRIME CHELSEA SQUARE,"£11,950,000",01/02/2020,"Savills, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25602/92833730/25602_SLH170090_IMG_01_0000_max_476x317.jpg
4 bedroom apartment for sale,"Ennismore Gardens, Knightsbridge SW7","An immaculate four bedroom lateral apartment situated on the third floor, with lift access, of this grand south east corner building, directly overlooking the famous Ennismore Garden Square.","£11,900,000",19/06/2020,"Rokstone, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176396/93751364/176396_2403_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"Montrose Place, Belgravia, London","An exceptional three bedroom lateral apartment, benefitting from a 36 ft south facing reception room leading to a private terrace, 24 hour concierge service, underground parking for two cars and separate staff accommodation.","£11,795,000",01/08/2019,"Strutt & Parker, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44264/83697752/44264_SLN190006_IMG_05_0000_max_476x317.jpg
3 bedroom apartment for sale,"Jubilee Court West, New Capital Quay, 20 Victoria Parade, Greenwich, SE10",Excellent Greenwich Riverside Location | River Views | Close to Greenwich Market and Cutty Sark DLR | Superb 3 bed Value | Onsite Waitrose - Costa - Gym - Riverside Bars | 785 SqFt plus Balcony | EWS1 Grade B1 Pass | 5th Floor | 2 Bathrooms | Ready to View | 987 year Lease | Ground Rent £35...,"£600,000",06/08/2020,"MyLondonHome, Canary Wharf",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/107k/106976/95778104/106976_CAD200262_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Marlborough Place, London, NW8","This elegant detached low built family house spans over 6,086 sqft and is arranged over three floors only. Featuring spacious entertaining areas, indoor swimming pool with adjoining leisure area and secure off-street parking for up to four cars. The house sits on a generous plot with beautiful fr...","£11,750,000",29/03/2019,"'s International Realty, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62080/71566960/62080_LON190150_IMG_01_0000_max_476x317.jpg
4 bedroom flat for sale,"Grosvenor Square, London, W1K","A luxurious penthouse for sale in Grosvenor Square, Mayfair A luxurious four bedroom penthouse for sale, located on prestigious Grosvenor Square. Offering spacious accommodation throughout, the property further benefits from an excellent prime location in Mayfair EPC: E. This impressive penthou...","£11,750,000",02/12/2019,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/87108485/65815_WER190078_IMG_01_0001_max_476x317.jpg
4 bedroom flat for sale,"Vicarage Gate House, Vicarage Gate, Kensington, London, W8.","A fantastic 4 bedroom house for sale in W8 Vicarage Gate House is an exquisite new development of 13 exceptional apartments designed by leading London architect, Eric Parry. Perfectly positioned between elegant High Street Kensington, fashionable Notting Hill and adjacent to the mansions of ...","£11,500,000",04/06/2020,"Knight Frank, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65809/80470387/65809_HPE190136_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,"Hamilton Drive, St Johns Wood, London, NW8","Exquisite white stucco-fronted house for sale in NW8. Hamilton Drive is an exceptional new development secretly located behind electric gates with an on-site concierge service. The grand white, stucco-fronted houses combine the best of modern living with the grandeur and charm of a period villa....","£11,500,000",18/03/2020,"Knight Frank, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65830/78277297/65830_SJW012046797_IMG_01_0000_max_476x317.jpg
5 bedroom maisonette for sale,"South Audley Street, Mayfair, W1K",A rare opportunity to create one of Mayfair’s finest homes on highly sought-after South Audley Street with private access and lift in prime location to the area's finest amenities.,"£11,325,000",04/11/2016,"Carter Jonas, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48609/45267045/48609_MAY140009_IMG_31_0001_max_476x317.jpg
4 bedroom penthouse for sale,"St. Edmunds Terrace, St. John's Wood, London, NW8",A rare opportunity to purchase a four bedroom duplex penthouse apartment in this prestigious new development,"£11,300,000",23/01/2019,"Savills, St John's Wood & Regent's Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78202/63852780/78202_STS170178_IMG_01_0000_max_476x317.jpg
4 bedroom flat for sale,"St Edmund's Terrace, St John's Wood, London, NW8 ","A stunning four double bedroom Penthouse apartment located on the fourth and fifth floors of this recently built landmark building. The apartment is arranged over 3,817 sq.ft. / 354.6 sq.m. with South and East facing terraces on both floors facing towards Regent's Park and the London skyline. Int...","£11,300,000",16/10/2018,"Arlington Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195398/59514087/195398_28467418_IMG_11_0000_max_476x317.jpg
5 bedroom semi-detached house for sale,"Warwick Avenue, Little Venice, London, W9","A unique white stucco period house backing directly onto one of the finest communal gardens in London. The property, which was the subject of a major refurbishment programme several years ago, is found in excellent condition and offers superb sized family accommodation along with a 3 person passe...","£11,250,000",08/02/2020,"Ian Green Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73947/77326927/73947_29462917_IMG_01_0000_max_476x317.jpg
3 bedroom apartment for sale,"Francis Street, Westminster, London, SW1P","An exceptional apartment, comprising over 5,300 square feet of lateral space, set in a landmark industrial style building, and showcasing a stunning bespoke interior. The current owner has designed and created this striking apartment to perfectly complement the industrial nature of the...","£11,210,000",20/01/2020,"Russell Simpson, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46451/67616184/46451_RUS190077_IMG_04_0000_max_476x317.jpg
3 bedroom apartment for sale,"Francis Street, Westminster, London, SW1P","A stunning, sophisticated and unique apartment which has been meticulously designed, created and maintained by the current owner, with two car parking spaces. Situated on the first floor of this iconic landmark building, which was ambitiously developed by the renowned Italian designer Alessandro ...","£11,210,000",17/01/2020,"Barnes International Realty, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176336/92965457/176336_BAI190009_IMG_10_0000_max_476x317.jpg
5 bedroom semi-detached house for sale,"Mallord Street, London, SW3","Stunning and beautifully presented, 5 bedroom period house.","£11,200,000",25/07/2020,"Savills, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78262/72082866/78262_KEH090030_IMG_01_0000_max_476x317.jpg
3 bedroom terraced house for sale,"Eldon Road, London, W8","A unique freehold house with a historical past (circa 4,469 sq ft) benefiting from an outstanding first floor 'studio style' reception room and further flexible, spacious accommodation. The house is presented in immaculate structural condition and decorated with impeccable taste.","£11,000,000",11/07/2020,"Hamptons International Sales, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/38k/37922/94693298/37922_KEN180132_IMG_02_0000_max_476x317.jpg
4 bedroom penthouse for sale,"Bolsover Street, Fitzrovia, London, W1W",Arguably the finest penthouse in Fitzrovia with the rarity of a roof terrace boasting fabulous views over central London and Regent’s Park. ,"£11,000,000",15/03/2020,"Savills, Marylebone",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104930/69095352/104930_MBS200006_IMG_05_0000_max_476x317.jpg
2 bedroom apartment for sale,"One Hyde Park, Knightsbridge","Luxury two double bedroom property in the coveted One Hyde Park, Knightsbridge.","£11,000,000",18/09/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/94223717/51305_5396_IMG_01_0000_max_476x317.jpg
